DATETIME,TOTAL_EAU,DELTA_EAU,TOTAL_GAS,DELTA_GAS
2024-03-28 15:26:04,23,23,34500,34500
2024-03-28 17:01:02,30,7,45000,10500
2024-03-28 17:28:15,37,7,0,0
2024-03-28 18:18:01,37,0,0,0
2024-03-28 19:18:01,68,31,46500,46500
2024-03-28 20:18:01,117,49,120000,73500
2024-03-28 21:18:01,127,10,135000,15000
2024-03-28 22:19:06,128,1,0,0
2024-03-28 23:18:01,128,0,0,0
2024-03-29 00:15:00Z,128,0,0,0
2024-03-29 01:18:01,135,7,10500,10500
2024-03-29 02:19:00,144,9,24000,13500
2024-03-29 03:15:00Z,144,0,24000,0
2024-03-29 04:15:00Z,144,0,24000,0
2024-03-29 05:15:00Z,144,0,24000,0
2024-03-29 06:15:00Z,144,0,24000,0
2024-03-29 07:18:05,156,12,42000,18000
2024-03-29 08:18:05,275,119,220500,178500
2024-03-29 09:15:00Z,275,0,220500,0
2024-03-29 10:15:00Z,275,0,220500,0
2024-03-29 11:18:06,279,4,226500,6000
2024-03-29 12:18:06,289,10,241500,15000
2024-03-29 13:18:06,331,42,304500,63000
2024-03-29 14:18:06,358,27,345000,40500
2024-03-29 15:18:06,397,39,403500,58500
2024-03-29 16:18:07,421,24,439500,36000
2024-03-29 17:18:07,452,31,486000,46500
2024-03-29 18:15:00Z,452,0,486000,0
2024-03-29 19:15:00Z,452,0,486000,0
2024-03-29 20:18:07,467,15,508500,22500
2024-03-29 21:18:07,475,8,520500,12000
2024-03-29 22:18:07,479,4,526500,6000
2024-03-29 23:18:07,493,14,547500,21000
2024-03-30 00:18:07,495,2,550500,3000
2024-03-30 01:15:00Z,495,0,550500,0
2024-03-30 02:15:00Z,495,0,550500,0
2024-03-30 03:18:08,502,7,561000,10500
2024-03-30 04:15:00Z,502,0,561000,0
2024-03-30 05:18:08,514,12,579000,18000
2024-03-30 06:15:00Z,514,0,579000,0
2024-03-30 07:15:00Z,514,0,579000,0
2024-03-30 08:15:00Z,514,0,579000,0
2024-03-30 09:15:00Z,514,0,579000,0
2024-03-30 10:15:00Z,514,0,579000,0
2024-03-30 11:18:08,535,21,610500,31500
2024-03-30 12:15:00Z,535,0,610500,0
2024-03-30 13:38:57,558,23,645000,34500
2024-03-30 14:17:49,558,0,645000,0
2024-03-30 15:17:49,673,115,817500,172500
2024-03-30 16:17:49,727,54,898500,81000
2024-03-30 17:17:49,747,20,928500,30000
2024-03-30 18:15:11,748,1,0,0
2024-03-30 19:20:25,750,2,3000,3000
2024-03-30 20:20:25,755,5,10500,7500
2024-03-30 21:20:25,766,11,27000,16500
2024-03-30 22:20:25,768,2,30000,3000
2024-03-30 23:20:25,772,4,36000,6000
2024-03-31 00:20:25,795,23,70500,34500
2024-03-31 01:15:00Z,795,0,70500,0
2024-03-31 02:15:00Z,795,0,70500,0
2024-03-31 03:15:00Z,795,0,70500,0
2024-03-31 04:15:00Z,795,0,70500,0
2024-03-31 05:20:26,809,14,91500,21000
2024-03-31 06:15:00Z,809,0,91500,0
2024-03-31 07:15:00Z,809,0,91500,0
2024-03-31 08:15:00Z,809,0,91500,0
2024-03-31 09:15:00Z,809,0,91500,0
2024-03-31 10:15:00Z,809,0,91500,0
2024-03-31 11:20:27,813,4,97500,6000
2024-03-31 12:20:27,827,14,118500,21000
2024-03-31 13:19:54,834,7,129000,10500
2024-03-31 14:18:28,850,16,153000,24000
2024-03-31 15:18:28,864,14,174000,21000
2024-03-31 16:18:28,939,75,286500,112500
2024-03-31 17:18:28,1101,162,529500,243000
2024-03-31 18:15:00Z,1101,0,529500,0
2024-03-31 19:15:00Z,1101,0,529500,0
2024-03-31 20:15:00Z,1101,0,529500,0
2024-03-31 21:18:29,1119,18,556500,27000
2024-03-31 22:18:29,1127,8,568500,12000
2024-03-31 23:18:29,1139,12,586500,18000
2024-04-01 00:15:00Z,1139,0,586500,0
2024-04-01 01:15:00Z,1139,0,586500,0
2024-04-01 02:18:30,1149,10,601500,15000
2024-04-01 03:18:30,1153,4,607500,6000
2024-04-01 04:15:00Z,1153,0,607500,0
2024-04-01 05:15:00Z,1153,0,607500,0
2024-04-01 06:18:30,1164,11,622700,15200
2024-04-01 07:18:30,1165,1,625500,2800
2024-04-01 08:18:30,1167,2,628500,3000
2024-04-01 09:15:00Z,1167,0,628500,0
2024-04-01 10:15:00Z,1167,0,628500,0
2024-04-01 11:18:30,1170,3,633000,4500
2024-04-01 12:15:00Z,1170,0,633000,0
2024-04-01 13:18:30,1182,12,651000,18000
2024-04-01 14:18:30,1212,30,696000,45000
2024-04-01 15:15:00Z,1212,0,696000,0
2024-04-01 16:18:30,1241,29,739500,43500
2024-04-01 17:18:30,1281,40,799500,60000
2024-04-01 18:18:30,1359,78,916500,117000
2024-04-01 19:18:30,1439,80,1036500,120000
2024-04-01 20:18:30,1446,7,1047000,10500
2024-04-01 21:18:30,1460,14,1068000,21000
2024-04-01 22:18:30,1467,7,1078500,10500
2024-04-01 23:18:30,1488,21,1110000,31500
2024-04-02 00:18:30,1490,2,1113000,3000
2024-04-02 01:18:30,1494,4,1119000,6000
2024-04-02 02:18:30,1504,10,1134000,15000
2024-04-02 03:15:00Z,1504,0,1134000,0
2024-04-02 04:15:00Z,1504,0,1134000,0
2024-04-02 05:18:30,1511,7,1144500,10500
2024-04-02 06:18:30,1513,2,1147500,3000
2024-04-02 07:15:00Z,1513,0,1147500,0
2024-04-02 08:18:30,1594,81,1269000,121500
2024-04-02 09:15:00Z,1594,0,1269000,0
2024-04-02 10:15:00Z,1594,0,1269000,0
2024-04-02 11:18:30,1598,4,1275000,6000
2024-04-02 12:18:30,1602,4,1281000,6000
2024-04-02 13:18:30,1626,24,1317000,36000
2024-04-02 14:18:30,1628,2,1320000,3000
2024-04-02 15:18:30,1636,8,1332000,12000
2024-04-02 16:18:30,1686,50,1407000,75000
2024-04-02 17:18:30,1738,52,1485000,78000
2024-04-02 18:18:30,1748,10,1500000,15000
2024-04-02 19:18:30,1755,7,1510500,10500
2024-04-02 20:18:30,1777,22,1543500,33000
2024-04-02 21:18:30,1789,12,1561500,18000
2024-04-02 22:18:30,1791,2,1564500,3000
2024-04-02 23:18:30,1792,1,1566000,1500
2024-04-03 00:18:30,1803,11,1582500,16500
2024-04-03 01:18:30,1810,7,1593000,10500
2024-04-03 02:18:30,1817,7,1603500,10500
